symbol,half_spread,impact_$100K,total_$100K,depth_buy_$100K,impact_$375K,total_$375K,depth_buy_$375K,impact_$1M,total_$1M,depth_buy_$1M,impact_$5M,total_$5M,depth_buy_$5M,ac_impact_375K,vol_annual,adtv_weekly
BABY,0.00043383947939260704,0.009936721247757973,0.009936721247757973,66352.11329,0.010021918208110204,0.010021918208110204,66352.11329,0.010021918208110204,0.010021918208110204,66352.11329,0.010021918208110204,0.010021918208110204,66352.11329,0.02,0.5613526696335518,1109191.21641
BAN,0.0006624710168930414,0.002007739484737258,0.002007739484737258,3305.8913300000004,0.002007739484737258,0.002007739484737258,3305.8913300000004,0.002007739484737258,0.002007739484737258,3305.8913300000004,0.002007739484737258,0.002007739484737258,3305.8913300000004,0.02,1.277339319249156,1590635.59378
BANANA,0.00011437721605849775,0.0025608356505426345,0.0025608356505426345,26276.6933,0.0025608356505426345,0.0025608356505426345,26276.6933,0.0025608356505426345,0.0025608356505426345,26276.6933,0.0025608356505426345,0.0025608356505426345,26276.6933,0.02,0.6462859902392855,1107996.699
BANANAS31,8.959770629873063e-05,0.0020568226804513986,0.0020568226804513986,10647.260080999999,0.0020568226804513986,0.0020568226804513986,10647.260080999999,0.0020568226804513986,0.0020568226804513986,10647.260080999999,0.0020568226804513986,0.0020568226804513986,10647.260080999999,0.02,0.7994513946856487,3982878.634236
BAND,0.00023792529145845584,0.0057654099128785,0.0057654099128785,37815.78123,0.0057654099128785,0.0057654099128785,37815.78123,0.0057654099128785,0.0057654099128785,37815.78123,0.0057654099128785,0.0057654099128785,37815.78123,0.02,0.5088743670895787,1151045.6955
BARD,3.5575794229602256e-05,0.0007513407495015477,0.0007513407495015477,21554.94,0.0007513407495015477,0.0007513407495015477,21554.94,0.0007513407495015477,0.0007513407495015477,21554.94,0.0007513407495015477,0.0007513407495015477,21554.94,0.012859087725254887,0.9801651761927224,15130281.0287
BAT,0.0004933399111988301,0.005489362901813956,0.005489362901813956,113361.30567999999,0.009116967927507484,0.009116967927507484,190158.70565,0.009116967927507484,0.009116967927507484,190158.70565,0.009116967927507484,0.009116967927507484,190158.70565,0.02,0.8631095799153442,2525000.5823
BB,0.00018577001671929392,0.00439176604920501,0.00439176604920501,36792.80263,0.00439176604920501,0.00439176604920501,36792.80263,0.00439176604920501,0.00439176604920501,36792.80263,0.00439176604920501,0.00439176604920501,36792.80263,0.02,0.8041718370242458,1366411.05818
BCH,1.1056932143597379e-05,0.00029623098926851354,0.00029623098926851354,31723.59776,0.00029623098926851354,0.00029623098926851354,31723.59776,0.00029623098926851354,0.00029623098926851354,31723.59776,0.00029623098926851354,0.00029623098926851354,31723.59776,0.0029128786591948886,0.6700580385969941,137799877.53431
BEAT,0.000150262960180299,0.003634980374900721,0.003634980374900721,19800.9259,0.003634980374900721,0.003634980374900721,19800.9259,0.003634980374900721,0.003634980374900721,19800.9259,0.003634980374900721,0.003634980374900721,19800.9259,0.015204391855721663,1.3429870129742014,20317688.3118
